"","BTI","NPN","AGL","MNP","SOL","SBK","NED","ABG","SHP","FSR"
"86501",NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,7052
"86502",NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,7044
"86503",NaN,NaN,NaN,NaN,NaN,20682.9933837429,NaN,NaN,NaN,NaN
"86505",NaN,NaN,NaN,NaN,NaN,20670,NaN,NaN,NaN,NaN
"86506",NaN,NaN,NaN,NaN,NaN,20708,26557,18242,NaN,7062
"86507",NaN,NaN,NaN,NaN,37136,NaN,NaN,18200,NaN,NaN
"86508",NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,16465.2326322498,NaN
"86509",NaN,NaN,NaN,NaN,NaN,NaN,NaN,18224.9772727273,NaN,NaN
"86510",NaN,NaN,NaN,NaN,NaN,20663.2267045455,NaN,NaN,NaN,NaN
"86511",NaN,NaN,NaN,NaN,NaN,NaN,NaN,18200.4482758621,NaN,NaN
"86513",NaN,NaN,NaN,NaN,NaN,NaN,NaN,18196.2466367713,NaN,NaN
"86514",NaN,NaN,39344.0754716981,NaN,NaN,NaN,NaN,NaN,NaN,NaN
"86515",NaN,NaN,NaN,NaN,NaN,NaN,NaN,18192,NaN,NaN
"86516",49321.74,345874,39347,32087.5870307167,37137,20663,26541,18200,NaN,7062
"86517",NaN,NaN,NaN,NaN,NaN,NaN,26557,NaN,16480,NaN
"86518",NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,16462,NaN
"86520",49321.74,NaN,39347,32091,NaN,NaN,26555.4346938776,18200,NaN,7062
"86521",NaN,NaN,NaN,NaN,NaN,NaN,NaN,18191.4695431472,NaN,NaN
"86523",49309.8763829787,NaN,39350.452211127,32105.3309859155,NaN,NaN,26543,NaN,NaN,7062
"86527",NaN,NaN,NaN,NaN,NaN,NaN,26572,NaN,NaN,NaN
"86528",NaN,NaN,NaN,NaN,37247,NaN,NaN,NaN,NaN,NaN
"86529",NaN,NaN,39288.8188405797,NaN,37145.6247877759,NaN,NaN,NaN,NaN,NaN
"86530",49276.57,346073,39325,32151,37162,NaN,NaN,NaN,NaN,NaN
"86534",49305.05,NaN,39303,32151,NaN,NaN,26570,NaN,16471.2164404223,7062
"86535",49315.85,NaN,NaN,NaN,37246,NaN,NaN,NaN,16472,NaN
"86538",NaN,NaN,39303,32151,37259,NaN,26572.7197802198,NaN,NaN,7062
"86541",NaN,NaN,NaN,NaN,NaN,NaN,26581,NaN,NaN,NaN
"86542",49366.91,346076.025380711,39307.1980099502,32147.6666666667,37334,NaN,26580.0707692308,NaN,NaN,7066.16273291925
