"","BTI","NPN","AGL","MNP","SOL","SBK","NED","ABG","SHP","FSR"
"86501",NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1561359733
"86502",NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1561359734
"86503",NaN,NaN,NaN,NaN,NaN,1561359735,NaN,NaN,NaN,NaN
"86505",NaN,NaN,NaN,NaN,NaN,1561359737,NaN,NaN,NaN,NaN
"86506",NaN,NaN,NaN,NaN,NaN,1561359738,1561359738,1561359738,NaN,1561359738
"86507",NaN,NaN,NaN,NaN,1561359739,NaN,NaN,1561359739,NaN,NaN
"86508",NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1561359740,NaN
"86509",NaN,NaN,NaN,NaN,NaN,NaN,NaN,1561359741,NaN,NaN
"86510",NaN,NaN,NaN,NaN,NaN,1561359742,NaN,NaN,NaN,NaN
"86511",NaN,NaN,NaN,NaN,NaN,NaN,NaN,1561359743,NaN,NaN
"86513",NaN,NaN,NaN,NaN,NaN,NaN,NaN,1561359745,NaN,NaN
"86514",NaN,NaN,1561359746,NaN,NaN,NaN,NaN,NaN,NaN,NaN
"86515",NaN,NaN,NaN,NaN,NaN,NaN,NaN,1561359747,NaN,NaN
"86516",1561359748,1561359748,1561359748,1561359748,1561359748,1561359748,1561359748,1561359748,NaN,1561359748
"86517",NaN,NaN,NaN,NaN,NaN,NaN,1561359749,NaN,1561359749,NaN
"86518",NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1561359750,NaN
"86520",1561359752,NaN,1561359752,1561359752,NaN,NaN,1561359752,1561359752,NaN,1561359752
"86521",NaN,NaN,NaN,NaN,NaN,NaN,NaN,1561359753,NaN,NaN
"86523",1561359755,NaN,1561359755,1561359755,NaN,NaN,1561359755,NaN,NaN,1561359755
"86527",NaN,NaN,NaN,NaN,NaN,NaN,1561359759,NaN,NaN,NaN
"86528",NaN,NaN,NaN,NaN,1561359760,NaN,NaN,NaN,NaN,NaN
"86529",NaN,NaN,1561359761,NaN,1561359761,NaN,NaN,NaN,NaN,NaN
"86530",1561359762,1561359762,1561359762,1561359762,1561359762,NaN,NaN,NaN,NaN,NaN
"86534",1561359766,NaN,1561359766,1561359766,NaN,NaN,1561359766,NaN,1561359766,1561359766
"86535",1561359767,NaN,NaN,NaN,1561359767,NaN,NaN,NaN,1561359767,NaN
"86538",NaN,NaN,1561359770,1561359770,1561359770,NaN,1561359770,NaN,NaN,1561359770
"86541",NaN,NaN,NaN,NaN,NaN,NaN,1561359773,NaN,NaN,NaN
"86542",1561359774,1561359774,1561359774,1561359774,1561359774,NaN,1561359774,NaN,NaN,1561359774
"86543",NaN,1561359775,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
"86544",NaN,NaN,NaN,NaN,1561359776,NaN,NaN,NaN,NaN,NaN
"86545",1561359777,NaN,NaN,NaN,NaN,NaN,NaN,1561359777,1561359777,NaN
"86547",1561359779,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
"86548",NaN,NaN,NaN,NaN,NaN,NaN,1561359780,NaN,NaN,NaN
"86549",NaN,NaN,NaN,NaN,1561359781,1561359781,1561359781,1561359781,1561359781,1561359781
"86551",NaN,1561359783,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
"86552",NaN,1561359784,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
"86553",1561359785,1561359785,NaN,1561359785,1561359785,NaN,1561359785,1561359785,1561359785,1561359785
"86554",NaN,NaN,1561359786,NaN,NaN,NaN,NaN,NaN,NaN,NaN
"86558",1561359790,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
"86560",NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1561359792,NaN
"86566",NaN,1561359798,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
"86568",NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1561359800,NaN
"86570",NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1561359802
"86577",1561359809,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
"86578",NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1561359810,NaN
"86582",NaN,1561359814,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
"86586",NaN,NaN,NaN,NaN,NaN,1561359818,NaN,NaN,NaN,NaN
"86587",NaN,NaN,NaN,NaN,NaN,1561359819,NaN,NaN,NaN,NaN
"86588",NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1561359820,NaN
"86589",NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1561359821,NaN
"86590",NaN,NaN,NaN,NaN,NaN,1561359822,NaN,NaN,NaN,NaN
"86591",1561359823,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
"86592",NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1561359824
"86593",NaN,NaN,NaN,NaN,NaN,1561359825,NaN,NaN,NaN,NaN
"86594",1561359826,NaN,NaN,NaN,NaN,1561359826,1561359826,1561359826,NaN,1561359826
"86595",NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1561359827,NaN
"86597",NaN,NaN,NaN,NaN,NaN,1561359829,NaN,NaN,1561359829,NaN
